"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000032420",1974.11040148581,-0.387538525562505,0.0786043148400966,-4.93024494076271,8.21265788792077e-07,0.000242207706430559
"ENSMUSG00000037455",722.426012251749,-0.31862627323561,0.0649504075942453,-4.90568550741229,9.31015991150262e-07,0.000269191407951015
"ENSMUSG00000020232",1381.17264051982,-0.21361216583816,0.0439906773405062,-4.8558508018577,1.19870934703204e-06,0.0003335126043648
"ENSMUSG00000039068",3204.73259676447,0.165521124612852,0.0340814426146421,4.85663492840942,1.19397431946948e-06,0.0003335126043648
"ENSMUSG00000021540",2897.86600247655,0.169745140900175,0.0350367475643862,4.84477449250215,1.26755564793189e-06,0.000342014737440562
"ENSMUSG00000032097",9662.22320516977,0.197506291642031,0.0407785812077917,4.84338311417987,1.27646824917672e-06,0.000342014737440562
"ENSMUSG00000056749",471.038757373909,-1.02850149402016,0.212503383173346,-4.83992997504975,1.29884886048226e-06,0.000342014737440562
"ENSMUSG00000025764",3075.40246372023,0.22595546474349,0.0468223152661275,4.82580717034624,1.3943737195465e-06,0.000360726927516363
"ENSMUSG00000031393",3321.9745866174,0.165551147281926,0.0343680405138364,4.81700861634156,1.45726398025995e-06,0.000370496804360573
"ENSMUSG00000055980",2890.62595358108,0.271617872410355,0.0565196770020795,4.80572230447037,1.54193798252029e-06,0.000385379957461766
"ENSMUSG00000023367",13128.713320667,-0.221784041576673,0.0463414740370108,-4.78586506332414,1.70252417471121e-06,0.000411564286562156
"ENSMUSG00000070985",2723.26224357529,-0.487833417086749,0.101892521802623,-4.78772542338029,1.68682217519393e-06,0.000411564286562156
"ENSMUSG00000079465",24450.4489256685,-0.347587104033875,0.0726783244140641,-4.78254151889353,1.73092620203264e-06,0.000411681254438278
"ENSMUSG00000042046",2078.191392827,0.198753610313598,0.0415885984009603,4.77904084185268,1.76133416762389e-06,0.000412264025964793
"ENSMUSG00000020482",1503.55936569813,0.343917289691314,0.0723827779852065,4.75136903092617,2.0204400665033e-06,0.000465522019072777
"ENSMUSG00000029752",199.303758723245,-0.832682963298446,0.175518096931285,-4.74414307046892,2.09390825271153e-06,0.000475027247607449
"ENSMUSG00000023067",847.871216660696,-0.924522319406866,0.195058711328471,-4.73971304901122,2.14021095575233e-06,0.000478175011417028
"ENSMUSG00000000253",1885.08038264673,-0.359543381527469,0.0765341251965221,-4.69781787672158,2.62955741729385e-06,0.000561963096745147
"ENSMUSG00000041605",439.732828106406,-0.508905558977862,0.10826877722188,-4.70039075009537,2.59664145670157e-06,0.000561963096745147
"ENSMUSG00000062563",2051.07219632799,0.288202507641628,0.0613010647689107,4.70142743405971,2.58349076803465e-06,0.000561963096745147
"ENSMUSG00000032911",2653.10984867273,-0.253094995812053,0.0541832665466381,-4.67109150007046,2.99603434155626e-06,0.000631136034294123
"ENSMUSG00000036550",7605.34737970523,0.121567068120002,0.0260529270980143,4.66615776655928,3.0688410660177e-06,0.000637368033232353
"ENSMUSG00000028671",163.64424041506,-0.528853800989417,0.113837760070136,-4.64567996298932,3.38958136878406e-06,0.00069420509533458
"ENSMUSG00000022763",339.829771011028,-0.462987749823106,0.0997920887540816,-4.63952358953073,3.49213274630482e-06,0.000705410814753574
"ENSMUSG00000054520",220.399417815346,-0.534884940820485,0.115664005675877,-4.62447187173668,3.755540420814e-06,0.000748367554666529
"ENSMUSG00000055866",568.851598499478,0.809710013738729,0.175800570946273,4.60584405033693,4.10796174852022e-06,0.000807680052582389
"ENSMUSG00000028357",3935.72988052814,-0.374334994143975,0.0813229220302037,-4.60306866500623,4.16310895599986e-06,0.000807752692962816
"ENSMUSG00000020257",1895.73636006231,0.165278075777671,0.035997243507897,4.59140922113697,4.40263131853073e-06,0.00084313248601369
"ENSMUSG00000069565",1394.38486989507,-0.232796772345488,0.0507687211364882,-4.58543700006999,4.53037868100981e-06,0.000856473897822702
"ENSMUSG00000059743",724.120850604823,-0.420559951523377,0.0920360868031751,-4.56951143982001,4.88862482994601e-06,0.000912502047371947
"ENSMUSG00000023120",916.116851681499,-0.657436561078422,0.144559732366561,-4.54785402764412,5.41957033737037e-06,0.000998962302435793
"ENSMUSG00000032758",95844.5526317817,-1.47006340064869,0.323907015902657,-4.53853522299277,5.66463348746255e-06,0.00102039143089337
"ENSMUSG00000054986",399.564299183616,-1.13152229176034,0.24947460721894,-4.53562109737011,5.74342118297502e-06,0.00102039143089337
"ENSMUSG00000090236",3711.57916587466,-0.358804007595229,0.0790747710100285,-4.537528253477,5.69174068665551e-06,0.00102039143089337
"ENSMUSG00000021185",4321.26948070522,-0.374037022322892,0.0825198790980435,-4.53268989740632,5.82372804347085e-06,0.00102234159201216
"ENSMUSG00000028081",7823.26537243107,0.228942512901475,0.0506800529223083,4.51740871803034,6.26010002137397e-06,0.00107977430873122
"ENSMUSG00000029763",2775.98545617583,-0.321625578911334,0.0712167270914919,-4.51615220253161,6.29734101118166e-06,0.00107977430873122
