gene_id,Mmus_C57-6J_KDN_FLT_Rep1_M23,Mmus_C57-6J_KDN_FLT_Rep2_M24,Mmus_C57-6J_KDN_FLT_Rep3_M25,Mmus_C57-6J_KDN_FLT_Rep4_M26,Mmus_C57-6J_KDN_FLT_Rep5_M27,Mmus_C57-6J_KDN_FLT_Rep6_M28,Mmus_C57-6J_KDN_GC_Rep1_M33,Mmus_C57-6J_KDN_GC_Rep2_M34,Mmus_C57-6J_KDN_GC_Rep3_M35,Mmus_C57-6J_KDN_GC_Rep4_M36,Mmus_C57-6J_KDN_GC_Rep5_M37,Mmus_C57-6J_KDN_GC_Rep6_M38
ENSMUSG00000049230,107.9122408,99.19639008,101.2689055,146.2592515,163.4960451,152.8934625,110.8855338,88.94674503,102.3521958,98.41363007,72.30296659,103.7862193
ENSMUSG00000049232,616.2689511,595.5359383,528.8838738,623.7922037,619.6739968,520.9224665,600.6012273,579.0447933,713.0965466,584.811254,630.6676968,578.1844598
ENSMUSG00000049233,170.3019787,112.0726375,38.53008812,66.21892633,73.94424372,77.63250403,82.66706337,99.71109482,89.87895031,71.94570354,70.52636206,102.0246622
ENSMUSG00000049235,0,2.521681057,2.443959797,0,0,0,0,0,3.916262363,3.615796602,3.676157328,1.495946453
ENSMUSG00000049241,112.2536466,117.1085892,100.5117966,119.3965324,155.1161292,155.9875046,187.8743044,202.5800503,179.3225941,213.4641574,193.0519353,139.0000745
ENSMUSG00000049252,6.478545688,3.419110135,7.028954955,7.597997808,14.81629035,8.765959459,1.487996383,34.30223729,15.90378456,1.493655198,15.68488753,11.16291604
ENSMUSG00000049265,57.0604589,707.1573447,280.0725321,90.1022553,104.0825253,106.7861999,76.43159918,91.54825641,187.7231751,180.0483616,62.85424723,105.6131639
ENSMUSG00000049280,0,1.067210135,0.788328725,0.984819212,1.725689835,0,1.009887755,0,1.009291037,0.932662484,3.789023807,3.855005463
ENSMUSG00000049281,0.652208676,4.121110072,3.748860937,2.534705875,11.51995919,2.463105852,13.52288244,4.164428861,9.695827421,1.800667972,5.699164935,4.28931659
ENSMUSG00000049285,81.38465086,110.2683744,92.15231158,62.87274742,82.33085783,82.89169315,81.36011172,74.57905238,85.49641567,56.49584219,72.33480735,68.54498902
