"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000053411",0.44450800553546,5.3842628412789,27.3275233077602,1.71749254497577e-07,0.000116901130073776
"ENSMUSG00000050100",0.763380342107116,3.1959585518553,25.7593669711122,3.86745434395183e-07,0.000250703123734363
"ENSMUSG00000027314",0.636343759651244,3.70390131068312,25.5315873385878,4.35199365453296e-07,0.000269289498268896
"ENSMUSG00000041920",-0.662283311187261,4.13282248841355,24.5819647959884,7.12151421965788e-07,0.000421500752487838
"ENSMUSG00000026827",-0.526859918035312,6.15335097275029,24.4274651529402,7.71607848617207e-07,0.000437662401801085
"ENSMUSG00000027111",-0.393783565842708,7.73891666182227,23.8631072868968,1.03435178667066e-06,0.000563225234877908
"ENSMUSG00000021214",-1.22818916111418,5.18002483238201,23.2223800298961,1.44308138261927e-06,0.000755564110061391
"ENSMUSG00000056749",-0.954640694408006,3.64265330693573,23.1019599283636,1.53634016854417e-06,0.000774599952384882
"ENSMUSG00000023067",-0.858009106055553,4.49125949837669,22.6811292729812,1.91236761899531e-06,0.0009297521570494
"ENSMUSG00000020482",0.412333193693883,5.32994102747315,22.039453148833,2.67103306437113e-06,0.00125381976225118
"ENSMUSG00000023120",-0.737838592149213,4.63147862502283,21.9519571577798,2.7956165808579e-06,0.00126855761717395
"ENSMUSG00000033327",0.498813644389543,5.48085209715529,21.1626769599169,4.21901209256756e-06,0.00185269069729427
"ENSMUSG00000025185",-0.721543112303481,4.15616996277898,21.0421828538801,4.49282098709029e-06,0.00191127412803938
"ENSMUSG00000025511",0.507419981788599,4.15267246031142,20.5931591835692,5.67987099892604e-06,0.00234303284570849
"ENSMUSG00000002346",0.490153674154586,5.56149121603864,20.4687148194573,6.06139509237417e-06,0.00242687562919087
"ENSMUSG00000021508",0.809856364589856,4.37706203621072,19.9568918703185,7.9207930892606e-06,0.00308073589497442
"ENSMUSG00000054986",-1.04432400273062,3.40464435691698,19.7788562652792,8.69391164995874e-06,0.00328750609141357
"ENSMUSG00000040998",-0.431696943160773,8.59820530690203,19.6131483499763,9.48144600049747e-06,0.00340598472319444
"ENSMUSG00000003477",0.698081652097578,3.02086379099572,19.6078784442494,9.50763384128324e-06,0.00340598472319444
"ENSMUSG00000042659",0.454268207853632,4.4447971673869,19.3222283750118,1.10413460140577e-05,0.00385399598177864
"ENSMUSG00000026188",-0.855690424724218,2.80335326313435,19.1682989053682,1.19684601384006e-05,0.00407316619660119
"ENSMUSG00000061353",0.604625011493367,7.08609961196136,18.9154854451388,1.36639012837078e-05,0.0044478583877094
"ENSMUSG00000022949",0.796871012265806,3.05393104999946,18.9072637278956,1.37229157631525e-05,0.0044478583877094
